ID,Nword,Nsent,register,Nsent2,Bepp,Getpp,Nbepp,Ngetpp,Bepp-by,Getpp-by,NBepp-by,NGetpp-by
S1,596,20,Spoken,20,"['""And when I first saw that, I was horrified.', ""I'm trying to discover beauty that hasn't been discovered yet."", 'There are these birds that are called starlings, and they fly in what\'s called a ""murmuration,"" which is generally just a big cloud of birds.']",[],3,0,[],[],0,0
S8,2138,121,Spoken,121,"['There is some medical news that nobody, absolutely nobody, is prepared to hear.', 'I held hands with people in wheelchairs, praying to be cured.', 'I earned my reputation as destroyer of family vacations for always insisting on being dropped off at the fanciest megachurch in town.', 'It was a mindset that served me well until it didn\'t, until I was confronted with something I couldn\'t manage my way out of; until I found myself saying into the phone, ""But I have a son,"" because it was all I could think of to say.That was the most difficult moment to accept: the phone call, the walk to the hospital, when I realized that my own personal prosperity gospel had failed me.', ""I am asked all the time to say that I would never go back, or that I've gained so much in perspective."", 'People were interviewed about their brushes with death in all kinds of circumstances: car accidents, labor and delivery, suicides.', ""I was entering a world of people just like me, people stumbling around in the debris of dreams they thought they were entitled to and plans they didn't realize they had made."", 'I see that the world is jolted by events that are wonderful and terrible, gorgeous and tragic.']",[],8,0,"['I see that the world is jolted by events that are wonderful and terrible, gorgeous and tragic.']",[],1,0
S13,482,13,Spoken,13,"['The song I just performed was called ""my mama,"" and the next song I\'m going to perform is another original song of mine called ""BLACK BANANA.""', 'Because I think commitment will always be rewarded.']",[],2,0,[],[],0,0
S15,829,61,Spoken,61,"['James served 12 years in the San Quentin State Prison and is being released in 18 months.', 'This piece is inspired by all of the hard work that men and women are doing on the inside to create better lives and futures for themselves after they serve their time.This piece is entitled, ""Where I Live.', '""I live in a world that has been called ""hell on Earth"" by those trapped inside.']",[],3,0,"['This piece is inspired by all of the hard work that men and women are doing on the inside to create better lives and futures for themselves after they serve their time.This piece is entitled, ""Where I Live.', '""I live in a world that has been called ""hell on Earth"" by those trapped inside.']",[],2,0
S18,220,1,Spoken,1,[],[],0,0,[],[],0,0
S26,1444,81,Spoken,81,"['And I also encountered a project called Six-Word Memoirs where people were asked, take your whole life and please sum this up into six words, such as these here: ""Found true love, married someone else.""', ""Or some even included references to the speakers, such as Nathan Myhrvold's speaking style, or the one of Tim Ferriss, which might be considered a bit strenuous at times.The challenge here is, if I try to systematically do this, I would probably end up with a lot of summaries, but not with many friends in the end."", ""He's got eight talks online, and those can basically be summed up into just four words, because that's all he's basically showing us, our intuition is really bad.""]",[],3,0,[],[],0,0
S27,785,52,Spoken,52,"['And you can understand, obviously, the transmission problem between people in high-virus areas.This video we took undercover, which shows you, over a half an hour period, a tray of medicines of 42 vials, which are being delivered with only 2 syringes in a public hospital in India.', 'And over the course of half an hour, not one syringe was filmed being unwrapped.', ""And you'll see, just now, a nurse coming back to the tray, which is their sort of modular station, and dropping the syringe she's just used back in the tray for it to be picked up and used again."", 'And they are collected en mass ?', 'And these are used with traces of blood visible.So we need a better product.']",[],5,0,[],[],0,0
S30,1030,69,Spoken,69,[],[],0,0,[],[],0,0
S31,4799,316,Spoken,316,"[""?and we doled out a billion dollars to each one of these problems I'm going to talk to you about, the vast majority could be solved, and the rest we could deal with."", 'But it is often a combination of talk therapy and pills.', 'There must be millions of planets in the Milky Way, and as Carl Sagan insisted for many years, and was laughed at for it, there must be billions and billions in the universe.', 'It may seem ridiculous, but we have a really lousy history of anticipating things like this and actually being prepared for them.', 'California is expected to lose 25 percent of its species in the next 40 years.', ""There's been an experiment for the last four or five years on the Georges Bank, or the Grand Banks off of Newfoundland."", '?heard it called StarLink, especially when all those taco shells were taken out of the supermarkets about a year and a half ago.', ""This stuff was supposed to only be feed for animals in the United States, and it got into the human food supply, and somebody should've figured out that it would get in the human food supply very easily."", ""It's been 780,000 years since this happened."", 'Scientists think now our magnetic field may be diminished by about five percent.', ""In studying stars like our Sun, we've found that they go through periods of diminishment, when their total amount of energy that's expelled from them goes down by maybe one percent."", ""That's happened before."", ""You'll notice that a lot of comets are named after people you never heard of, amateur astronomers?""]","['You ought to be able to go to a psychiatrist or a psychologist, and put down your 10-dollar copay, and get treated, just like you do when you got a cut on your arm.']",13,1,"['Scientists think now our magnetic field may be diminished by about five percent.', ""In studying stars like our Sun, we've found that they go through periods of diminishment, when their total amount of energy that's expelled from them goes down by maybe one percent.""]",[],2,0
S32,2064,129,Spoken,129,"['It was written by a high school teacher named Paul Barnwell.', ""We've heard interviews often in which a guest is talking for several minutes and then the host comes back in and asks a question which seems like it comes out of nowhere, or it's already been answered."", 'Buddha said, and I\'m paraphrasing, ""If your mouth is open, you\'re not learning.""', 'All of this boils down to the same basic concept, and it is this one: Be interested in other people.You know, I grew up with a very famous grandfather, and there was kind of a ritual in my home.', ""I keep my mouth shut as often as I possibly can, I keep my mind open, and I'm always prepared to be amazed, and I'm never disappointed.You do the same thing."", 'Go out, talk to people, listen to people, and, most importantly, be prepared to be amazed.Thanks.']","[""But there's another reason: We get distracted.""]",6,1,['It was written by a high school teacher named Paul Barnwell.'],[],1,0
S33,904,38,Spoken,38,"['I, for one, was steeped in these.', 'She also explores themes of consumerism, and the environment, such as in this work, where these basket-like objects look organic and woven, and are woven, but with the strips of steel, salvaged from cars that she found in a Bangalore junkyard.10 artists, six minutes, I know that was a lot to take in.']",[],2,0,[],[],0,0
S34,2159,112,Spoken,112,"['That represents the total equivalent carbon dioxide reduced from the atmosphere when the solution is implemented globally over a 30-year period.', 'The single most impactful solution, according to this analysis, would be refrigeration management, or properly managing and disposing of hydrofluorocarbons, also known as HFCs, which are used by refrigerators and air conditioners to cool the air.', 'But they were replaced by HFCs, which are hundreds to thousands of times more potent a greenhouse gas than carbon dioxide.', 'All that data is entered in the model, ambitiously but plausibly projected into the future, and compared against what we would have to do anyway.', 'The 84 gigatons reduced from onshore wind turbines, for example, results from the electricity generated from wind farms that would otherwise be produced from coal or gas-fired plants.', 'The same process is used to compare recycling versus landfilling, regenerative versus industrial agriculture, protecting versus cutting down our forests.', ""The results are then integrated within and across systems to avoid double-counting and add it up to see if we actually get to drawdown.OK, let's go into some specific solutions."", 'Before, kerosene was used for cooking and lighting, kerosene on a straw island.', ""This is drawdown in action every year, as carbon is removed from the atmosphere through photosynthesis, which converts carbon dioxide to plants' biomass and soil organic carbon.And we need to rethink how we produce our food to make it more regenerative."", 'They have been practiced for centuries, for generations.', ""It's a healthy diet in terms of how much we consume, and particularly how much meat is consumed."", 'In low-income countries, after food leaves the farm, most food is wasted early in the supply chain due to infrastructure and storage challenges.', 'In the developed world, instead, after food leaves the farm, most food is wasted at the end of the supply chain by markets and consumers, and wasted food ends up in the landfill where it emits methane as it decomposes.', 'All the energy and emissions that are used to produce that higher demand is reduced by providing the basic human right to choose when, how and if to raise a family.', 'But family planning cannot happen without equal quality of education to girls currently being denied access.', 'We would want to implement these solutions whether or not global warming was even a problem, because they have cascading benefits to human and planetary well-being.']","['The solutions to reversing global warming are the same solutions to food insecurity.Now, a solution that often does not get talked enough about, family planning.']",16,1,"['The single most impactful solution, according to this analysis, would be refrigeration management, or properly managing and disposing of hydrofluorocarbons, also known as HFCs, which are used by refrigerators and air conditioners to cool the air.', 'But they were replaced by HFCs, which are hundreds to thousands of times more potent a greenhouse gas than carbon dioxide.', 'In the developed world, instead, after food leaves the farm, most food is wasted at the end of the supply chain by markets and consumers, and wasted food ends up in the landfill where it emits methane as it decomposes.', 'All the energy and emissions that are used to produce that higher demand is reduced by providing the basic human right to choose when, how and if to raise a family.']",[],4,0
S44,1880,79,Spoken,79,"['And when I was bullied for being Muslim, I always felt like I had an army of unapologetic North African aunties who had my back.And so every morning at 15, I would wake up and stand in front of a mirror, and wrap beautiful bright silk around my head the way my mother does and my grandmother did.', 'But I did know young women who were connected to those communities, and it was quite remarkable how they already had these layers of trust and awareness and relationship with their communities.', ""And it's really about the friendship, and it's been so, so fun.So the last thing I want to leave you with is that the key takeaway for me in teaching self-defense all of these years is that I actually don't want women, as cool as the self-defense moves are, to go out and use these self-defense techniques.""]",[],3,0,[],[],0,0
S45,2370,102,Spoken,102,"[""And it's true what they say: success is the best revenge.Some women in the Middle East are lucky enough to be married to someone supportive of their career."", ""Things are changing, but it will take time.For now, it means that the professional Arab woman has to somehow maintain the perfect home, make sure that her children's every need is being taken care of and manage her demanding career."", 'This is sacred time.', 'The majority of those are also women.In the West, it seems like ambitious women often compare themselves to other women hoping to be noticed as the most successful woman in the room.', 'It was the head of marketing who initially suggested I be considered as a young global leader to the World Economic Forum.', 'She was familiar with my media engagements and my publications, and when she was asked to voice her opinion, she highlighted my name.']",[],6,0,[],[],0,0
S46,1377,104,Spoken,104,"['And indeed we started to be surprised right away.', 'The tidal energy is generated by Saturn, pulling and squeezing this moon ?', 'Hydrothermal vents deep in our ocean were discovered in 1977.']",[],3,0,"['The tidal energy is generated by Saturn, pulling and squeezing this moon ?']",[],1,0
